"","triToken","Ranking"
"468","why do i",622
"469","who you are",622
"470","who will be",622
"471","who i am",622
"472","where do you",622
"473","where did you",622
"474","when i saw",622
"475","what you want",622
"476","what you say",622
"477","what to do",622
"478","what i was",622
"479","what i can",622
"480","what did the",622
"481","we love you",622
"482","we love the",622
"483","we had a",622
"484","we are going",622
"485","way to get",622
"486","watch a movie",622
"487","was the first",622
"488","was in the",622
"489","was in a",622
"490","wait to get",622
"491","wait for the",622
"492","used to be",622
"493","up with a",622
"494","up for a",622
"495","turned out to",622
"496","to worry about",622
"497","to work on",622
"498","to try it",622
"499","to the world",622
"500","to thank you",622
"501","to see what",622
"502","to see u",622
"503","to see that",622
"504","to pick up",622
"505","to hear that",622
"506","to get home",622
"507","to get back",622
"508","to everyone who",622
"509","to do what",622
"510","to do that",622
"511","to come to",622
"512","to be an",622
"513","to a great",622
"514","thought i was",622
"515","those of you",622
"516","this is why",622
"517","this is not",622
"518","think of the",622
"519","think i will",622
"520","there will be",622
"521","there are no",622
"522","the way you",622
"523","the top of",622
"524","the state of",622
"525","the same as",622
"526","the power of",622
"527","the next day",622
"528","the most important",622
"529","the middle of",622
"530","the last week",622
"531","the kind words",622
"532","the hunger games",622
"533","the difference between",622
"534","the day you",622
"535","the day is",622
"536","the bright side",622
"537","the bottom of",622
"538","the best thing",622
"539","the best of",622
"540","thats what i",622
"541","that they are",622
"542","that makes me",622
"543","that it was",622
"544","that it is",622
"545","thanks to the",622
"546","thank you you",622
"547","thank you rt",622
"548","stop by the",622
"549","spread the word",622
"550","special thanks to",622
"551","sounds like fun",622
"552","so what do",622
"553","so much i",622
"554","so much from",622
"555","so glad you",622
"556","so excited for",622
"557","send me your",622
"558","seems to be",622
"559","see you on",622
"560","right now is",622
"561","right now but",622
"562","right now and",622
"563","rest of the",622
"564","reminds me of",622
"565","ready to go",622
"566","proud to be",622
"567","people want to",622
"568","out of my",622
"569","out in the",622
"570","out for the",622
"571","on twitter and",622
"572","on to the",622
"573","on the first",622
"574","on the couch",622
"575","on the bright",622
"576","on my phone",622
"577","on a saturday",622
"578","of the world",622
"579","of the week",622
"580","of the new",622
"581","of the month",622
"582","of my life",622
"583","of my favorite",622
"584","of course i",622
"585","now i have",622
"586","now i am",622
"587","not good enough",622
"588","not following me",622
"589","not a bad",622
"590","nice to see",622
"591","need a new",622
"592","my mom just",622
"593","my mom and",622
"594","my last tweet",622
"595","my friends and",622
"596","my best friend",622
"597","me im a",622
"598","me i would",622
"599","makes me want",622
"600","make sure to",622
"601","luck with the",622
"602","love you i",622
"603","love to have",622
"604","love me some",622
"605","love it when",622
"606","looks like a",622
"607","look out for",622
"608","look at the",622
"609","listening to the",622
"610","like to be",622
"611","last week of",622
"612","last night i",622
"613","know you are",622
"614","just let me",622
"615","just in time",622
"616","ive got a",622
"617","its in the",622
